ID,Level,Final
1012,Simple Reflection,1
1013,Critical Reflection,2
1014,Simple Reflection,1
1015,Simple Reflection,2
1016,Critical Reflection,3
1017,Simple Reflection,2
1018,Simple Reflection,3
1019,Simple Reflection,3
1020,Simple Reflection,2
1021,Simple Reflection,3
1022,Simple Reflection,3
1023,Simple Reflection,2
1024,Simple Reflection,2
1025,Simple Reflection,4
1026,Critical Reflection,3
1027,Simple Reflection,3
1028,Simple Reflection,2
1029,Critical Reflection,3
1030,Critical Reflection,4
1031,Simple Reflection,3
1032,Simple Reflection,1
1033,Simple Reflection,3
1034,Critical Reflection,3
1035,Simple Reflection,2
1036,Simple Reflection,3
1037,Simple Reflection,2
1038,Simple Reflection,3
1039,Simple Reflection,1
1040,Simple Reflection,1
1041,Simple Reflection,3
1042,Simple Reflection,3
1043,Simple Reflection,3
1044,Critical Reflection,2
1045,Critical Reflection,2
1046,Understanding,1
1047,Understanding,1
1048,Simple Reflection,4
1049,Simple Reflection,2
1050,Simple Reflection,2
1051,Critical Reflection,4
1052,Critical Reflection,3
1053,No-Reflection,2
1054,Simple Reflection,2
1055,Simple Reflection,2
1056,Simple Reflection,3
1057,Simple Reflection,2
1058,Critical Reflection,3
1059,Simple Reflection,2
1060,Critical Reflection,3
1061,Simple Reflection,2
1062,Simple Reflection,2
1063,Simple Reflection,3
1064,Simple Reflection,2
1065,Simple Reflection,3
1066,Simple Reflection,2
1067,Simple Reflection,2
1068,Simple Reflection,2
1069,Critical Reflection,3
1070,Simple Reflection,1
1071,Simple Reflection,2
1072,Simple Reflection,2
1073,Simple Reflection,2
1074,Simple Reflection,2
1075,Simple Reflection,2
1076,Simple Reflection,2
1077,Critical Reflection,3
1078,Simple Reflection,3
1079,Simple Reflection,2
1080,Simple Reflection,2
1081,Simple Reflection,1
1082,Simple Reflection,2
1083,Simple Reflection,3
1084,Simple Reflection,3
1085,Critical Reflection,3
1086,Simple Reflection,2
1087,Simple Reflection,3
1088,Simple Reflection,3
1089,Critical Reflection,3
1090,Simple Reflection,3
1091,Simple Reflection,2
1092,Simple Reflection,3
1093,Simple Reflection,3
1094,Simple Reflection,3
1095,Simple Reflection,3
1096,Critical Reflection,3
1097,Critical Reflection,3
1098,Simple Reflection,3
1099,Simple Reflection,3
1100,Simple Reflection,1
1101,Simple Reflection,2
1102,Simple Reflection,4
1103,Critical Reflection,2
1104,Critical Reflection,3
1105,Critical Reflection,3
1106,Simple Reflection,1
1107,Simple Reflection,1
1108,Simple Reflection,3
1109,Simple Reflection,3
1110,Simple Reflection,3
1111,Simple Reflection,1
1112,Simple Reflection,2
1113,Simple Reflection,3
1114,Simple Reflection,2
1115,Simple Reflection,3
1116,Simple Reflection,2
1117,Simple Reflection,2
1118,Critical Reflection,4
1119,Critical Reflection,3
1120,Simple Reflection,3
1121,Critical Reflection,3
1122,Critical Reflection,3
1123,Simple Reflection,2
1124,Simple Reflection,2
1125,Simple Reflection,3
1126,Simple Reflection,3
1127,Simple Reflection,1
1128,Critical Reflection,3
1129,Simple Reflection,2
1130,Simple Reflection,2
1131,Simple Reflection,1
1132,Simple Reflection,3
1133,Simple Reflection,2
1134,Understanding,1
1135,Critical Reflection,3
1136,Critical Reflection,2
1137,Understanding,1
1138,Simple Reflection,2
1139,Simple Reflection,1
1140,Simple Reflection,3
1141,Critical Reflection,3
1142,Simple Reflection,2
1143,Critical Reflection,3
1144,Simple Reflection,3
1145,Critical Reflection,3
1146,Critical Reflection,3
1147,Simple Reflection,1
1148,Critical Reflection,3
1149,Simple Reflection,3
1150,Simple Reflection,1
1151,Understanding,1
1152,Simple Reflection,3
1153,Simple Reflection,3
1154,Simple Reflection,3
1155,Simple Reflection,3
1156,Simple Reflection,3
1157,Critical Reflection,3
1158,Critical Reflection,3
1159,Critical Reflection,3
